listing_id,price(dollars),nbhood_borough,nbhood_zone,host_name,last_review,description,room_type
10962,89.0,Brooklyn, South Slope,Laurie,2019-06-21,"Lovely room 2 & garden; Best area, Legal rental",private room
11708,85.0,Brooklyn, Bushwick,Tyrome,2019-06-22,Cute apt in artist's home,entire home/apt
12048,40.0,Manhattan, Lower East Side,Ben,2019-07-05,LowerEastSide apt share shortterm 1,shared room
12192,68.0,Manhattan, East Village,Edward,2019-06-21,ENJOY Downtown NYC!,private room
12299,120.0,Brooklyn, South Slope,Abdul,2019-05-27,Beautiful Sunny Park Slope Brooklyn,entire home/apt
12318,135.0,Manhattan, Upper West Side,Cyn,2019-06-16,West Side Retreat,private room
12343,150.0,Manhattan, Harlem,Earl,2019-06-13,BEST BET IN HARLEM,entire home/apt
12627,150.0,Brooklyn, Prospect-Lefferts Gardens,Rana,2019-06-05,Entire apartment in central Brooklyn neighborhood.,entire home/apt
12937,130.0,Queens, Long Island City,Orestes,2019-07-01,"1 Stop fr. Manhattan! Private Suite,Landmark Block",private room
12940,110.0,Brooklyn, Bedford-Stuyvesant,Adreinne,2019-05-25,Charming Brownstone 3 - Near PRATT,entire home/apt
13394,80.0,Brooklyn, Fort Greene,Alexander,2019-06-17,Fort Greene brownstone,private room
13808,80.0,Brooklyn, Bedford-Stuyvesant,JT And Tiziana,2019-06-16,Blue Room for 2 in Brownstone for $1350 monthly,private room
14287,151.0,Manhattan, Upper West Side,Joya,2019-07-07,Cozy 1BD on Central Park West in New York City,entire home/apt
14290,228.0,Brooklyn, Williamsburg,James,2019-05-17,* ORIGINAL BROOKLYN LOFT *,entire home/apt
14314,144.0,Brooklyn, Greenpoint,Jeanne,2019-06-29,Greenpoint Place...Has It All!,entire home/apt
14322,200.0,Manhattan, Kips Bay,Francesca,2019-03-25,Beautiful Apartment in Manhattan!!!,entire home/apt
14377,150.0,Brooklyn, Williamsburg,Joanna,2019-06-22,Williamsburg 1 bedroom Apartment,entire home/apt
14991,110.0,Manhattan, Lower East Side,Bianca,2019-05-18,"Great Location, Manhattan Bedroom!",private room
15220,69.0,Manhattan, Hell's Kitchen,Luiz,2019-06-09,Best Location in NYC! TIMES SQUARE!,private room
15338,49.0,Brooklyn, Greenpoint,Andrea,2019-06-04,Room in Greenpoint Loft w/ Roof,private room
15341,180.0,Manhattan, SoHo,Ted,2019-06-29,**Bright Nolita Apt w Doorman/Elevators/Gym**,entire home/apt
15385,80.0,Brooklyn, Williamsburg,Cristina,2019-06-30,"Very, very cozy place",private room
15711,250.0,Manhattan, Upper East Side,D,2019-03-30,2 bedroom - Upper East Side-great for kids,entire home/apt
16326,200.0,Brooklyn, Prospect Heights,Dimitri,2019-01-26,Comfortable 4-bedroom apt in family house.,entire home/apt
16421,52.0,Manhattan, Hell's Kitchen,Mark,2019-05-16,Your Heaven in Hells Kitchen,private room
16580,80.0,Manhattan, East Village,Reka,2019-07-01,"Sunny, Modern room in East Village!",private room
16595,275.0,Brooklyn, Williamsburg,Daniel,2019-06-23,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,entire home/apt
16821,99.0,Manhattan, East Village,Casey,2019-06-21,Large Room in Amazing East Village Apt,private room
16974,225.0,Manhattan, East Harlem,Robin,2019-06-23,SpaHa Loft: Enormous and Bright,entire home/apt
17092,51.0,Manhattan, Hell's Kitchen,Enzo,2019-06-01,Cool Room in Hell's Kitchen,private room
17693,65.0,Manhattan, Washington Heights,Tye And Etienne,2019-06-18,"HARLEM, NEW YORK WELCOMES YOU!!",private room
17747,105.0,Brooklyn, Clinton Hill,George,2019-06-26,BLUE TRIM GUEST HOUSE,private room
18127,190.0,Manhattan, East Village,Josh,2019-01-02,Charming East Village One Bedroom Flat,entire home/apt
18152,200.0,Manhattan, Upper East Side,Victoria,2019-07-09,Manhattan Room,private room
18198,70.0,Queens, Woodside,Justin,2019-05-31,Little King of Queens,private room
18590,95.0,Brooklyn, Fort Greene,Blaise,2019-06-16,Fort Greene Retreat on the Park,private room
18728,150.0,Manhattan, Chelsea,DAVID And RICK,2019-05-28,Beautiful Meatpacking District Loft,private room
18764,145.0,Brooklyn, Williamsburg,Lulú,2019-04-22,Cozy 2 BR in Williamsburg,private room
19159,110.0,Manhattan, Harlem,Sybilla,2019-03-23,Spacious luminous apt Upper West NYC,entire home/apt
19169,285.0,Manhattan, Lower East Side,JoLynn,2019-06-30,Entire 2 Bedroom - Large & Sunny,entire home/apt
19282,130.0,Brooklyn, Flatbush,Gaia,2019-06-15,"Sunny, Spacious Top Floor Haven",entire home/apt
19319,94.0,Manhattan, Lower East Side,Ana,2019-04-08,Private room Great Deal at Lower East Side,private room
20299,60.0,Manhattan, East Village,Edward,2019-06-30,Oh glorious spring!,private room
20611,85.0,Brooklyn, Williamsburg,Lulú,2019-06-22,Cozy Bedroom in Williamsburg 3 BR,private room
20724,65.0,Brooklyn, Bushwick,Augustin,2019-05-26,Sunny room+Pvte office in huge loft,private room
20734,131.0,Brooklyn, Prospect Heights,Sean & Lynette,2019-06-27,Spacious Prospect Heights Apartment,entire home/apt
20755,98.0,Brooklyn, Clinton Hill,Erica,2019-05-31,"Large Parlor Room, Landmark Home 1 block to PRATT",private room
20853,250.0,Brooklyn, Prospect Heights,Tracy,2019-05-21,2-bed brownstone duplex + garden,entire home/apt
21293,105.0,Brooklyn, Bushwick,Tyrome,2019-06-18,Sunny Apartment in Artist Home,entire home/apt
21456,140.0,Manhattan, Upper West Side,Dana,2019-07-07,Light-filled classic Central Park,entire home/apt
21794,98.0,Manhattan, Chelsea,Olan,2019-05-01,COZY QUIET room 4 DOOGLERS!,private room
22918,60.0,Manhattan, Harlem,Ssameer Or Trip,2019-01-03,loft bed - near transportation-15min to times sq,private room
23135,175.0,Brooklyn, Carroll Gardens,Annette,2019-06-24,House On Henry (3rd FLR Suite),entire home/apt
23686,500.0,Manhattan, West Village,Ann,2019-05-18,2000 SF 3br 2bath West Village private  townhouse,entire home/apt
24143,101.0,Brooklyn, Williamsburg,Seth,2019-05-29,"Williamsburg���Steps To Subway, Private Bath&Balcony",private room
25235,125.0,Brooklyn, Bedford-Stuyvesant,Shelly,2019-06-28,Large 2 Bedroom Great for Groups!,entire home/apt
25696,100.0,Manhattan, Harlem,Dena,2019-06-23,"1,800 sq foot in luxury building",private room
26362,59.0,Manhattan, Hell's Kitchen,Luiz,2019-06-16,"Times Square, Safe, Clean and Cozy!",private room
26520,125.0,Brooklyn, Clinton Hill,Erica,2019-06-02,"Cozy Room #3, Landmark Home 1 Block to PRATT",private room
26969,325.0,Brooklyn, Williamsburg,Alexandra,2019-06-23,2 story family home in Williamsburg,entire home/apt
27006,235.0,Manhattan, Upper West Side,Stacy,2019-04-27,Comfortable UWS 2-BD Family-Friendly Brownstone,entire home/apt
27385,225.0,Manhattan, East Village,Bruce,2019-06-07,Great Large 1 BR apt  in East Village!,entire home/apt
27531,99.0,Brooklyn, South Slope,Evelyn,2019-05-20,Eveland Private Bed & Living Room w/ Own Entrance,private room
27644,170.0,Manhattan, Harlem,Emma,2019-07-01,Sugar Hill Rest Stop,entire home/apt
27759,170.0,Manhattan, Upper West Side,Sylvie,2019-06-26,apartment next to Central park,entire home/apt
29013,70.0,Brooklyn, Bedford-Stuyvesant,Angela,2019-05-14,B & B Room 1,private room
29455,120.0,Manhattan, Harlem,Laurine,2019-06-20,ACCOMMODATIONS GALORE #1,entire home/apt
29628,89.0,Brooklyn, Clinton Hill,Chris,2019-07-03,Sunny Room in New Condo,private room
29683,185.0,Manhattan, East Village,Uli,2019-06-25,Stylish & Sleek Apartment Near SoHo!,entire home/apt
30031,50.0,Brooklyn, Greenpoint,Sol,2019-05-20,NYC artists��� loft with roof deck,private room
30927,105.0,Manhattan, Lower East Side,Cs,2019-06-14,Unique & Charming small 1br Apt. LES,entire home/apt
31130,130.0,Manhattan, Hell's Kitchen,Lara,2019-05-26,Most Central Location!,private room
31555,115.0,Manhattan, West Village,Tom,2019-07-01,Luminous Beautiful West Village Studio,entire home/apt
31902,77.0,Brooklyn, Flatlands,Sunder,2019-01-01,Sanctuary in East Flatbush,private room
31994,76.0,Brooklyn, Clinton Hill,Waldemar,2019-06-24,Room with En Suite Bathroom & Deck,private room
32023,125.0,Brooklyn, Bedford-Stuyvesant,Khem,2019-06-23,FLAT MACDONOUGH,entire home/apt
32037,135.0,Brooklyn, Clinton Hill,Sahr,2019-07-01,Huge Private  Floor at The Waverly,private room
32965,115.0,Brooklyn, Bedford-Stuyvesant,Khem,2019-06-20,FLAT MACDONOUGH GARDEN,entire home/apt
32969,160.0,Brooklyn, Williamsburg,Katherine,2019-07-02,Light filled Williamsburg Apartment,entire home/apt
33009,195.0,Brooklyn, Williamsburg,Ming,2019-06-17,Retreat in Williamsburg,entire home/apt
33014,195.0,Manhattan, East Village,Paula,2019-06-17,NYC Zen,entire home/apt
33223,80.0,Brooklyn, Williamsburg,Lulú,2019-06-22,Cozy BR in Wiliamsburg 3 Bedroom,private room
34760,44.0,Brooklyn, Fort Greene,Obed,2019-06-29,Sunny Room in Old Historical Brooklyn Townhouse,private room
35526,156.0,Manhattan, West Village,Karen,2019-06-22,Sun Filled Classic West Village Apt,private room
36133,125.0,Brooklyn, Williamsburg,White,2019-06-13,Classic Artist Loft Williamsburg,private room
36703,225.0,Manhattan, West Village,Karene,2019-03-31,"Sunny, clean 1 bdrm in W. Village",entire home/apt
38638,219.0,Manhattan, Upper East Side,Sara,2019-06-26,Light and Airy Upper East Side 1 BDR apartment,entire home/apt
39267,99.0,Manhattan, Upper East Side,Marie,2019-06-08,CENTRAL PARK LOFT all for YOU,entire home/apt
39282,69.0,Brooklyn, Williamsburg,Gus,2019-05-28,Indie-Chic Share In Williamsburg,private room
39593,79.0,Queens, Sunnyside,Myung,2019-04-12,"A room w/ a Manhattan view, longer stay",private room
39704,135.0,Brooklyn, Bedford-Stuyvesant,Renée,2019-06-22,"Private, Large & Sunny 1BR w/W&D",entire home/apt
41348,250.0,Brooklyn, Gowanus,Syl,2019-07-06,* Spacious GARDEN Park Slope Duplex* 6 people max,entire home/apt
42580,70.0,Brooklyn, Clinton Hill,Waldemar,2019-06-24,Parlor Room In Victorian Townhouse,private room
42729,165.0,Brooklyn, Carroll Gardens,Annette,2019-06-18,House On Henry (2nd FLR Suite),entire home/apt
42882,70.0,Staten Island, St. George,Newyorkroomwithaview,2019-06-13,New York room with a view,private room
43957,50.0,Brooklyn, Bushwick,Tessa,2019-06-19,Sunny cozy room in Brklyn townhouse,private room
44096,40.0,Bronx, Highbridge,Waundell,2019-07-04,Room with a View,private room
44212,125.0,Manhattan, East Village,Bruce,2019-06-23,West Inn 2 - East Village,private room
44221,196.0,Manhattan, Financial District,Coral,2019-06-20,Financial District Luxury Loft,entire home/apt
44229,110.0,Brooklyn, Fort Greene,Carol,2019-06-24,BROOKLYN VICTORIAN STYLE SUITE.....,private room
44288,170.0,Manhattan, West Village,Sara,2019-06-01,Your own Lovely West Village Studio,entire home/apt
44506,165.0,Manhattan, Harlem,Laurine,2019-05-26,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,entire home/apt
45556,65.0,Brooklyn, Fort Greene,Doug,2019-06-30,"Fort Greene, Brooklyn: Center Bedroom",private room
45910,350.0,Queens, Ridgewood,Mark,2019-05-12,Beautiful Queens Brownstone! - 5BR,entire home/apt
45936,99.0,Manhattan, Morningside Heights,Rahul,2019-05-14,Couldn't Be Closer To Columbia Uni,private room
45940,200.0,Brooklyn, Williamsburg,Miyoung,2019-04-08,Bright Spacious Luxury Condo,entire home/apt
46544,150.0,Brooklyn, Park Slope,Monica,2019-06-05,Park Slope haven 15 mins from Soho,entire home/apt
46723,90.0,Brooklyn, Bedford-Stuyvesant,Marylyn,2019-05-19,SAFE  AND BEAUTIFUL ACCOMODATION,private room
46911,120.0,Brooklyn, Prospect Heights,Kathleen R.,2019-06-24,Large Room in private Brownstone in Park Slope,private room
47199,75.0,Manhattan, Upper East Side,Teresa,2019-06-24,"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",private room
47926,275.0,Manhattan, Hell's Kitchen,Claudia,2019-06-26,LUX APT IN TIMES SQUARE NEW BUILDING,entire home/apt
48719,299.0,Manhattan, Lower East Side,Shane,2019-06-15,Designer 1 BR Duplex w/ Terrace- Spectacular Views,entire home/apt
50447,135.0,Brooklyn, South Slope,Laurie,2019-06-22,Lovely Apt & Garden;  Legal;  Best Area; Amenities,entire home/apt
51485,83.0,Manhattan, Lower East Side,Erina,2019-06-22,Lower East Side $57~/night,private room
51572,123.0,Manhattan, Chelsea,Lee,2019-06-18,Prime Location in Manhattan,private room
51850,55.0,Queens, Jamaica,Jullett,2019-05-20,( F) Excellent/Pvt Rm,private room
53137,195.0,Manhattan, Hell's Kitchen,Marlaine,2019-07-01,"Quiet, sunny Midtown Manhattan apt.",entire home/apt
53477,265.0,Queens, Middle Village,Mark,2019-04-27,3 floors of luxury!,entire home/apt
54158,249.0,Brooklyn, Williamsburg,Bob,2019-06-20,The Institute���Heart of Williamsburg,entire home/apt
54508,100.0,Brooklyn, Prospect Heights,Kathleen R.,2019-06-06,Sml Rm in pr Brst  Park Sl great for Med/students,private room
54544,121.0,Manhattan, Harlem,Wayne,2019-06-22,City Room - Private Penthouse Apt.,entire home/apt
54626,45.0,Bronx, Highbridge,Waundell,2019-06-30,Cozy bedroom by Yankee Stadium,private room
54860,100.0,Manhattan, East Harlem,Jenny,2019-06-23,Great apartment with private bathroom and entrance,private room
55467,140.0,Brooklyn, Williamsburg,Paul,2019-07-02,Private Garden Apt �Ģ New Renovation,entire home/apt
55498,71.0,Brooklyn, Bedford-Stuyvesant,Tami,2019-07-01,Modern comfort in art infused landmark Brownstone,private room
55737,199.0,Manhattan, West Village,Pete,2019-05-19,Sleek & Comfortable Soho Apt,entire home/apt
55959,69.0,Brooklyn, Williamsburg,Gus,2019-06-10,Spacious Williamsburg Share w/ LOFT BED,private room
56467,130.0,Manhattan, East Village,Leonardo,2019-07-01,Cozy East Village Railroad 1 Bed!,entire home/apt
56525,195.0,Brooklyn, Greenpoint,Alex,2019-06-13,1 Bedroom Loft w/ Private Roof Deck,entire home/apt
56859,64.0,Manhattan, Harlem,Wayne,2019-06-03,City Room - Private & Comfy Bedroom,private room
57166,140.0,Queens, Ditmars Steinway,Vasili,2019-06-17,Elegant NYC Pad,entire home/apt
57297,159.0,Brooklyn, Cobble Hill,S.M.,2019-06-24,"Clean & bright 1BR in Cobble Hill, GREAT location!",entire home/apt
57468,189.0,Manhattan, East Village,Ori,2019-06-23,"Modern, Large East Village Loft",entire home/apt
57618,250.0,Manhattan, Hell's Kitchen,Ana,2019-06-09,"Great new apt, close to everything",entire home/apt
57740,239.0,Manhattan, East Village,I,2019-05-24,Quiet & Clean Retreat in the City,entire home/apt
57754,305.0,Manhattan, Flatiron District,R,2019-06-30,Stylish Large Gramercy Loft!,entire home/apt
57874,155.0,Manhattan, Harlem,Simon,2019-06-26,The Brownstone-Luxury 1 Bd Apt/NYC,entire home/apt
58059,60.0,Manhattan, Harlem,Agnes,2019-07-03,PRIVATE Room on Historic Sugar Hill,private room
58062,135.0,Brooklyn, Windsor Terrace,Linda,2019-05-17,South Slope Green,private room
58467,120.0,Manhattan, Roosevelt Island,Dave,2019-05-08,"17 Flr. Manhattan Views, Nr. Subway",private room
59014,150.0,Manhattan, Lower East Side,Drica,2019-01-02,"Spacious 1BR, Adorable Clean Quiet",entire home/apt
59642,135.0,Brooklyn, Greenpoint,Betty,2019-05-19,Franklin St Flat in Trendy Greenpoint Brooklyn,entire home/apt
59709,250.0,Manhattan, Chinatown,Ricardo & Ashlie,2019-07-01,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",entire home/apt
60164,500.0,Manhattan, SoHo,Harrison,2019-06-23,"Beautiful, elegant 3 bed SOHO loft",entire home/apt
60457,225.0,Manhattan, Greenwich Village,Jessica,2019-05-11,Spacious Greenwich Village Apt,entire home/apt
60666,92.0,Manhattan, Harlem,Wayne,2019-06-11,City Room - Private Luxury Suite,private room
60680,99.0,Manhattan, East Village,Mich,2019-06-20,The gem of the East Village,entire home/apt
60948,140.0,Manhattan, East Harlem,Laurine,2019-06-20,ACCOMMODATIONS GALORE #2,entire home/apt
61406,80.0,Manhattan, Harlem,Bethania,2019-06-01,Great room in great location,private room
61492,120.0,Manhattan, Chinatown,Tunji,2019-06-23,Exclusive Room with Private Bath in  LES,private room
61509,110.0,Manhattan, Midtown,Anna/Fonzy,2019-04-30,"Quiet, clean midtown apt w. elevato",entire home/apt
62095,65.0,Brooklyn, East Flatbush,Colette&Sean,2019-06-14,BK Sweet Suite w/Kitchen&FullBath,entire home/apt
62427,130.0,Manhattan, East Village,Brie,2019-05-26,Great East Village Apartment Rental,entire home/apt
62430,99.0,Brooklyn, Bushwick,Sheila,2019-06-22,BROWNSTONE SUNDRENCHED BEAUTY,entire home/apt
62452,36.0,Staten Island, Tompkinsville,Lissette,2019-06-25,A SpeciaL!! Private Room in NY,private room
62461,37.0,Staten Island, Tompkinsville,Lissette,2019-06-10,B NYC Staten Alternative...,private room
62787,37.0,Staten Island, Tompkinsville,Lissette,2019-07-02,C Private Room By The Ferry,private room
62891,175.0,Manhattan, East Village,Olivia,2019-05-24,Smallest House In The Village,entire home/apt
62903,205.0,Manhattan, Chelsea,Daniel,2019-06-21,Beautiful modern studio apartment in heart of NYC,entire home/apt
62925,285.0,Brooklyn, Greenpoint,Maya,2019-06-16,Beautiful Landmarked Duplex,entire home/apt
63299,59.0,Brooklyn, Williamsburg,Scott,2019-06-23,BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,private room
63320,36.0,Staten Island, Tompkinsville,Lissette,2019-07-02,D Private Che@p Room 2 Explore NYC,private room
63360,99.0,Queens, Astoria,Dennis & Naoko,2019-06-24,Safe cute near subway& Manhattan NY NY retro style,entire home/apt
63546,39.0,Brooklyn, Kensington,Antonín,2019-05-16,Large and Cozy Private Bedroom,private room
63610,105.0,Bronx, Eastchester,Vie,2019-06-27,DOMINIQUE'S NY mini efficiency* wifi*metro*quiet,entire home/apt
63657,135.0,Brooklyn, Bedford-Stuyvesant,Renée,2019-06-25,"Private, Large & Sunny Top Floor Apt  w/W&D",entire home/apt
63693,390.0,Manhattan, East Village,Olivia,2019-06-19,Cottage in the Village,entire home/apt
64000,60.0,Brooklyn, Williamsburg,Kristian & Di,2019-01-07,Williamsburg near soho. / loftbed,private room
64107,100.0,Brooklyn, Crown Heights,Niya,2019-06-24,BROOKLYN  STUDIO APARTMENT,private room
64277,70.0,Brooklyn, Bedford-Stuyvesant,Helene,2019-01-02,BEDROOM2 FOR RENT  10min from Manh,private room
64314,110.0,Brooklyn, Crown Heights,Debbie,2019-05-26,cozy bedroom in lovely garden apt,private room
64365,60.0,Brooklyn, Crown Heights,Anthony,2019-06-27,Crown Heights Garden Apt.,private room
64707,90.0,Manhattan, Little Italy,Tilly,2019-01-02,Amazing  Sunny & Breezy Home In the Heart of  NYC,entire home/apt
64837,68.0,Manhattan, East Village,Edward,2019-06-23,ENJOY Downtown NYC!!,private room
65019,115.0,Manhattan, Upper West Side,Claire,2019-07-06,Charming UWS Treehouse Apt,entire home/apt
65268,75.0,Brooklyn, Bedford-Stuyvesant,Juhli,2019-01-05,Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,private room
65562,129.0,Manhattan, East Village,Mary D,2019-01-03,CHARMING EAST VILLAGE 2 (or 1) BR,entire home/apt
65615,130.0,Brooklyn, Williamsburg,Valerie,2019-06-29,Farmhouse Apartment in Williamsburg,entire home/apt
65660,95.0,Brooklyn, Williamsburg,Larissa,2019-07-07,Bright+Spacious Williamsburg Abode!,entire home/apt
65813,75.0,Manhattan, Harlem,Eric,2019-01-02,"Suite Sugar Hill, Harlem, Private Rm in Hosted Apt",private room
66008,190.0,Brooklyn, Carroll Gardens,Melissa,2019-07-01,CHARMING CARROLL GARDENS APT.,entire home/apt
66026,49.0,Brooklyn, Crown Heights,Alex,2019-06-30,Private Bedroom Brownstone Brooklyn,private room
66251,212.0,Manhattan, East Village,Samir,2019-06-25,East Village Loft with Piano & Patio,entire home/apt
66275,95.0,Manhattan, Lower East Side,Tony,2019-06-23,Lower East Side Magic Room,private room
66451,140.0,Brooklyn, Williamsburg,Luis Fernando,2019-02-16,**Fantastic Williamsburg Apt**,entire home/apt
66718,135.0,Manhattan, Harlem,Henning,2019-06-23,West Harlem Home Base - Eco-Apt.,entire home/apt
66741,150.0,Brooklyn, Park Slope,Stefano,2019-06-23,Charming Garden Apt in Park Slope,entire home/apt
66974,190.0,Brooklyn, Gowanus,Jana,2019-07-01,"Lovely, Modern, Garden Apartment",entire home/apt
67288,124.0,Manhattan, East Harlem,Per,2019-06-15,Central Park 1BR sunny condo,entire home/apt
67299,135.0,Brooklyn, Williamsburg,Adrienne,2019-05-06,Cozy Garden Apartment  in Williamsburg,entire home/apt
67397,122.0,Manhattan, Morningside Heights,Elise,2019-06-22,SoHa comfort-by NW Central Park!,private room
68099,109.0,Manhattan, Upper West Side,Deda,2019-06-25,Cozy room in Upper West Side,private room
68403,145.0,Brooklyn, Bedford-Stuyvesant,Naimah,2019-06-24,The Cozy Brownstone Inn (discount)!,entire home/apt
68735,195.0,Manhattan, Upper West Side,Violetta,2019-06-13,Prewar Penthouse w Private Terrace,entire home/apt
68765,250.0,Brooklyn, Carroll Gardens,Jenna,2019-06-27,Designer 2.5 BR Loft in Carroll Gardens by Subway,entire home/apt
68974,575.0,Manhattan, Little Italy,Alicia,2019-06-20,Unique spacious loft on the Bowery,entire home/apt
69894,150.0,Manhattan, Upper West Side,Silvia,2019-06-11,"Nice renovated apt, prime location!",entire home/apt
69921,70.0,Brooklyn, Bushwick,Joab,2019-06-29,Brooklyn Writer's Nook,private room
70095,90.0,Manhattan, Inwood,Mary And Geoff,2019-06-30,Private Bedroom in Large NYC Apartment,private room
70128,65.0,Manhattan, East Village,Eyal,2019-01-10,"Large, Sunny Room East Village NYC",private room
70609,500.0,Manhattan, East Village,Bruce,2019-06-16,Great Large 3 BR/2 Bath Duplex with Private Patio!,entire home/apt
71010,250.0,Manhattan, Washington Heights,Kurt,2019-05-24,All That Jazz. Uptown style on Sugar Hill.,entire home/apt
71248,125.0,Manhattan, Chinatown,Jennifer,2019-06-17,Bright and lovely 1 bdrm apt in LES,entire home/apt
71366,200.0,Manhattan, West Village,Ruperto,2019-06-25,Beautiful One Bed West Village - 4 Month Special,entire home/apt
71812,90.0,Bronx, Kingsbridge,Thai,2019-01-02,Condo Apartment with laundry in unit,entire home/apt
72190,110.0,Manhattan, Upper West Side,Hudson,2019-02-15,1BR: See Central Park from Terrace!,entire home/apt
72265,59.0,Brooklyn, Greenpoint,Vanessa,2019-06-16,Private room in cozy Greenpoint,private room
74073,195.0,Brooklyn, Williamsburg,Daniel,2019-06-23,Food & Music Dream Apartment in Williamsburg,entire home/apt
74240,169.0,Brooklyn, Williamsburg,Patty,2019-06-07,French Garden cottage off Bedford,entire home/apt
74680,115.0,Queens, Astoria,Nazleen,2019-05-31,One Bedroom Mini studio - Free WIFI,entire home/apt
75193,69.0,Brooklyn, Williamsburg,Scott,2019-06-22,BROOKLYN > Guest Room w/ King Bed in Williamsburg,private room
75635,150.0,Manhattan, Lower East Side,Patricia,2019-06-27,Bright Cozy Chinatown Studio Apt.,entire home/apt
76761,169.0,Brooklyn, South Slope,Evelyn,2019-06-28,Eveland the Place to Stay & Enjoy a 5-�?��?� 2bdrm,entire home/apt
77765,179.0,Brooklyn, Greenpoint,The Box House Hotel,2019-07-01,Superior @ Box House,private room
77936,150.0,Manhattan, Hell's Kitchen,Moss Owen,2019-06-14,Hells Kitchen Garden of Eden,private room
79067,350.0,Brooklyn, Clinton Hill,Bliss,2019-04-20,Lovely 3 bedroom in Italianate Brownstone w/garden,entire home/apt
79782,120.0,Brooklyn, Williamsburg,Pam,2019-03-31,"Williamsburg HUGE, PRIVATE BATH - Next to Train!",private room
80493,71.0,Manhattan, East Village,Jennifer,2019-07-04,Cozy room in East Village with AC,private room
80700,349.0,Brooklyn, Greenpoint,The Box House Hotel,2019-05-24,Loft w/ Terrace @ Box House Hotel,private room
82550,200.0,Brooklyn, Brooklyn Heights,Christopher,2019-06-30,Columbia Castle 2 BR,entire home/apt
82638,169.0,Manhattan, East Village,Sarah,2019-06-06,"Charming Artist's Flat, East Village",entire home/apt
82928,185.0,Brooklyn, Bedford-Stuyvesant,Ruthven,2019-07-02,BEAUTIFUL 2 BEDROOM APARTMENT,entire home/apt
83243,65.0,Brooklyn, Bushwick,Julian,2019-06-10,Brooklyn Cove Studio Apt w/ Garden!!,entire home/apt
83847,225.0,Manhattan, East Village,Yvette,2019-01-02,East Village Designer's 1-BR APT,entire home/apt
84010,179.0,Brooklyn, Greenpoint,The Box House Hotel,2019-06-27,Superior @ Box House,private room
